symbol,time,open,high,low,close,tick_volume,spread,real_volume
XAUUSD,2024-12-23 13:00:00,2615.05,2615.74,2614.03,2615.1,459,8,0
XAUUSD,2024-12-23 13:05:00,2615.07,2616.85,2614.08,2616.83,369,11,0
XAUUSD,2024-12-23 13:10:00,2616.88,2617.94,2616.85,2617.62,413,8,0
XAUUSD,2024-12-23 13:15:00,2617.5,2617.99,2616.85,2617.28,372,10,0
XAUUSD,2024-12-23 13:20:00,2617.35,2617.35,2615.24,2615.24,393,10,0
XAUUSD,2024-12-23 13:25:00,2615.25,2615.84,2614.3,2615.43,285,9,0
XAUUSD,2024-12-23 13:30:00,2615.39,2617.14,2614.61,2617.08,326,4,0
XAUUSD,2024-12-23 13:35:00,2617.16,2618.74,2617.14,2618.03,390,5,0
XAUUSD,2024-12-23 13:40:00,2618.06,2619.63,2617.53,2619.0,385,9,0
XAUUSD,2024-12-23 13:45:00,2619.0,2619.8,2618.54,2618.98,314,9,0
XAUUSD,2024-12-23 13:50:00,2618.98,2619.49,2618.55,2618.89,269,9,0
XAUUSD,2024-12-23 13:55:00,2618.84,2619.34,2616.9,2617.39,350,3,0
XAUUSD,2024-12-23 14:00:00,2617.01,2618.3,2616.98,2618.23,386,9,0
XAUUSD,2024-12-23 14:05:00,2618.22,2619.12,2617.79,2618.76,342,9,0
XAUUSD,2024-12-23 14:10:00,2618.8,2619.83,2618.61,2618.89,330,9,0
XAUUSD,2024-12-23 14:15:00,2618.89,2619.04,2617.83,2618.88,380,9,0
XAUUSD,2024-12-23 14:20:00,2618.89,2619.34,2618.31,2618.31,265,9,0
XAUUSD,2024-12-23 14:25:00,2618.43,2619.07,2617.33,2617.85,373,9,0
XAUUSD,2024-12-23 14:30:00,2617.95,2618.72,2617.3,2617.3,452,9,0
XAUUSD,2024-12-23 14:35:00,2617.11,2618.21,2616.89,2617.14,468,9,0
XAUUSD,2024-12-23 14:40:00,2617.18,2618.25,2616.67,2616.81,409,1,0
XAUUSD,2024-12-23 14:45:00,2616.76,2616.84,2613.73,2616.05,463,9,0
XAUUSD,2024-12-23 14:50:00,2616.21,2617.09,2615.33,2615.9,451,7,0
XAUUSD,2024-12-23 14:55:00,2615.89,2616.66,2614.8,2615.43,383,2,0
XAUUSD,2024-12-23 15:00:00,2615.67,2616.4,2612.81,2612.96,461,0,0
XAUUSD,2024-12-23 15:05:00,2612.89,2613.07,2610.48,2611.91,484,9,0
XAUUSD,2024-12-23 15:10:00,2611.86,2612.91,2610.97,2612.29,436,6,0
XAUUSD,2024-12-23 15:15:00,2612.21,2613.99,2612.15,2612.99,428,8,0
XAUUSD,2024-12-23 15:20:00,2613.0,2614.29,2611.5,2611.51,435,9,0
